,Energy_Price,Unit_Of_Measure,Date,Energy_ID,Energy_Type
0,29.6,Cents per litre,1990-01,1,Electricity
1,31.5,Cents per litre,1990-02,1,Electricity
2,32.1,Cents per litre,1990-03,1,Electricity
3,32.1,Cents per litre,1990-04,1,Electricity
4,32.1,Cents per litre,1990-05,1,Electricity
5,32.1,Cents per litre,1990-06,1,Electricity
6,32.1,Cents per litre,1990-07,1,Electricity
7,32.1,Cents per litre,1990-08,1,Electricity
8,32.1,Cents per litre,1990-09,1,Electricity
9,32.1,Cents per litre,1990-10,1,Electricity
10,39.0,Cents per litre,1990-11,1,Electricity
11,43.0,Cents per litre,1990-12,1,Electricity
12,46.0,Cents per litre,1991-01,1,Electricity
13,43.0,Cents per litre,1991-02,1,Electricity
14,39.9,Cents per litre,1991-03,1,Electricity
15,34.9,Cents per litre,1991-04,1,Electricity
16,34.9,Cents per litre,1991-05,1,Electricity
17,34.9,Cents per litre,1991-06,1,Electricity
18,34.9,Cents per litre,1991-07,1,Electricity
19,34.9,Cents per litre,1991-08,1,Electricity
20,34.9,Cents per litre,1991-09,1,Electricity
21,34.9,Cents per litre,1991-10,1,Electricity
22,36.5,Cents per litre,1991-11,1,Electricity
23,36.5,Cents per litre,1991-12,1,Electricity
24,36.5,Cents per litre,1992-01,1,Electricity
25,36.5,Cents per litre,1992-02,1,Electricity
26,36.5,Cents per litre,1992-03,1,Electricity
27,36.5,Cents per litre,1992-04,1,Electricity
28,36.5,Cents per litre,1992-05,1,Electricity
29,36.5,Cents per litre,1992-06,1,Electricity
30,36.5,Cents per litre,1992-07,1,Electricity
31,36.5,Cents per litre,1992-08,1,Electricity
32,36.5,Cents per litre,1992-09,1,Electricity
33,36.5,Cents per litre,1992-10,1,Electricity
34,36.5,Cents per litre,1992-11,1,Electricity
35,36.5,Cents per litre,1992-12,1,Electricity
36,36.5,Cents per litre,1993-01,1,Electricity
37,36.5,Cents per litre,1993-02,1,Electricity
38,36.5,Cents per litre,1993-03,1,Electricity
39,36.5,Cents per litre,1993-04,1,Electricity
40,36.5,Cents per litre,1993-05,1,Electricity
41,36.5,Cents per litre,1993-06,1,Electricity
42,36.5,Cents per litre,1993-07,1,Electricity
43,36.5,Cents per litre,1993-08,1,Electricity
44,36.5,Cents per litre,1993-09,1,Electricity
45,36.5,Cents per litre,1993-10,1,Electricity
46,36.5,Cents per litre,1993-11,1,Electricity
47,36.5,Cents per litre,1993-12,1,Electricity
48,36.5,Cents per litre,1994-01,1,Electricity
49,36.5,Cents per litre,1994-02,1,Electricity
50,33.3,Cents per litre,1994-03,1,Electricity
51,33.3,Cents per litre,1994-04,1,Electricity
52,33.3,Cents per litre,1994-05,1,Electricity
53,33.3,Cents per litre,1994-06,1,Electricity
54,33.3,Cents per litre,1994-07,1,Electricity
55,33.3,Cents per litre,1994-08,1,Electricity
56,33.3,Cents per litre,1994-09,1,Electricity
