,Building_ID,Building_Name,Year_Built,Total_Sqft,Building_Classification,Building_Use,Facility
3,BL100,EAST PRESTON RECREATION CENTRE,1996.0,16384.0,Recreation/Culture and Entertainment,RECREATION FACILITY,Other
94,BL1001,Unknown,2010.0,,Institutional,DAYCARE,Other
172,BL1002,Unknown,2010.0,,Institutional,DAYCARE,Other
207,BL100250,KILLICK,2014.0,,Residential,RESIDENTIAL,Other
209,BL100251,AQUA VISTA,2014.0,,Residential,RESIDENTIAL,Other
212,BL100252,Unknown,2016.0,,Residential,RESIDENTIAL,Other
213,BL100253,Unknown,2015.0,,Industrial,FACTORY/PLANT,Other
214,BL100254,Unknown,2016.0,,Residential,RESIDENTIAL,Other
215,BL100255,Unknown,2015.0,,Residential,RESIDENTIAL,Other
217,BL100257,Unknown,2016.0,,Commercial,AUTO DEALERSHIP,Other
219,BL100258,Unknown,2015.0,,Residential,RESIDENTIAL,Other
220,BL100259,Unknown,2015.0,,Residential,RESIDENTIAL,Other
222,BL100260,Unknown,2016.0,,Residential,RESIDENTIAL,Other
223,BL100261,Unknown,2016.0,,Residential,RESIDENTIAL,Other
224,BL100262,Unknown,2016.0,,Residential,RESIDENTIAL,Other
225,BL100263,Unknown,2016.0,,Residential,RESIDENTIAL,Other
226,BL100264,Unknown,2016.0,,Residential,RESIDENTIAL,Other
227,BL100265,Unknown,2016.0,,Residential,RESIDENTIAL,Other
228,BL100266,Unknown,2016.0,,Residential,RESIDENTIAL,Other
229,BL100267,Unknown,2016.0,,Residential,RESIDENTIAL,Other
230,BL100268,Unknown,2016.0,,Residential,RESIDENTIAL,Other
231,BL100269,Unknown,2016.0,,Residential,RESIDENTIAL,Other
233,BL100270,Unknown,2014.0,,Residential,RESIDENTIAL,Other
236,BL100271,Unknown,2009.0,,Residential,RESIDENTIAL,Other
237,BL100272,Unknown,2015.0,,Residential,RESIDENTIAL,Other
240,BL100273,Unknown,2015.0,,Residential,RESIDENTIAL,Other
241,BL100274,Unknown,2016.0,,Residential,RESIDENTIAL,Other
